Experiment,Method,Run,mean,stdev
original,description,en,-3.8399725274725274,2.9147048281683663
original,description,fr,-8.844780219780219,4.904808817323391
original,description,de,-7.887362637362638,5.0078949802985715
original,description,es,-8.697115384615385,4.702401527752084
original,description,zh,-2.644230769230769,3.457375523836037
original,description,ja,0.0,0.0
original,description,ko,-9.385989010989011,3.0368911342010616
original,frequency,en,-4.045329670329671,2.939864089091894
original,frequency,fr,-9.11195054945055,4.907941733136285
original,frequency,de,-8.166208791208792,4.943467032393996
original,frequency,es,-9.032280219780219,4.472013305739989
original,frequency,zh,-2.728021978021978,3.488888284342551
original,frequency,ja,-0.26304945054945056,1.2257196186887862
original,frequency,ko,-9.802197802197803,3.2196535104116757
original,value,en,-3.82760989010989,2.890858146143342
original,value,fr,-8.887362637362637,4.917207065819384
original,value,de,-7.884615384615385,5.0106737033595055
original,value,es,-8.679258241758241,4.6746045657851205
original,value,zh,-2.6366758241758244,3.4560975715824234
original,value,ja,0.0,0.0
original,value,ko,-9.449175824175825,3.099715938036927
direction_ablation_across_layers,description,en,-3.1620508445488227,4.528417747551481
direction_ablation_across_layers,description,fr,-9.81033523266132,6.2974234585768505
direction_ablation_across_layers,description,de,-8.102980613708496,6.369292709422348
direction_ablation_across_layers,description,es,-9.744631714873261,6.193444340031887
direction_ablation_across_layers,description,zh,-2.173905917576381,4.762696661357276
direction_ablation_across_layers,description,ja,0.10478562575120193,0.862356309125399
direction_ablation_across_layers,description,ko,-10.521381965050331,4.147330950416059
direction_ablation_across_layers,frequency,en,2.6059284996200396,6.225064921073763
direction_ablation_across_layers,frequency,fr,-3.417636336861076,8.578196466517642
direction_ablation_across_layers,frequency,de,-2.417415220658858,7.936374792807152
direction_ablation_across_layers,frequency,es,-3.1053317876962514,6.429355506769884
direction_ablation_across_layers,frequency,zh,0.7086216853215144,4.696582002806058
direction_ablation_across_layers,frequency,ja,0.29601056235177176,1.2558562022490223
direction_ablation_across_layers,frequency,ko,-5.338441717755663,5.941879312259464
direction_ablation_across_layers,value,en,-5.070696757389949,4.781082088882497
direction_ablation_across_layers,value,fr,-11.58004669042734,6.668287650558872
direction_ablation_across_layers,value,de,-9.535795148912367,6.311288689726899
direction_ablation_across_layers,value,es,-11.77283883356786,6.384764096693567
direction_ablation_across_layers,value,zh,-3.434882205921215,5.891331651528807
direction_ablation_across_layers,value,ja,0.02094706860217419,0.19982229894384027
direction_ablation_across_layers,value,ko,-15.050426236875765,4.684009088175208
direction_ablation_across_layers_everything,description,en,5.556095353849641,6.168154217184905
direction_ablation_across_layers_everything,description,fr,3.488166316524967,7.793209980933431
direction_ablation_across_layers_everything,description,de,3.075607268364875,7.503768925741614
direction_ablation_across_layers_everything,description,es,4.790789520347511,6.858769689433259
direction_ablation_across_layers_everything,description,zh,3.851618379026979,4.727709571689808
direction_ablation_across_layers_everything,description,ja,0.31897997594141697,1.671771108255079
direction_ablation_across_layers_everything,description,ko,-3.12966004046765,6.024960610879336
direction_ablation_across_layers_everything,frequency,en,1.074294436108935,7.18720346659656
direction_ablation_across_layers_everything,frequency,fr,2.223077096781888,9.13414521982682
direction_ablation_across_layers_everything,frequency,de,2.5390371346211698,8.614229775846649
direction_ablation_across_layers_everything,frequency,es,2.917521223917112,7.359567856224345
direction_ablation_across_layers_everything,frequency,zh,2.9253212174216467,6.785273733515944
direction_ablation_across_layers_everything,frequency,ja,0.3861636067484761,1.4223409314004267
direction_ablation_across_layers_everything,frequency,ko,1.4955403903028468,8.459651011815772
direction_ablation_across_layers_everything,value,en,3.6863643468081295,6.828596312359912
direction_ablation_across_layers_everything,value,fr,-0.12729430198669434,9.025844630510937
direction_ablation_across_layers_everything,value,de,1.4909543860089647,8.940824253479168
direction_ablation_across_layers_everything,value,es,0.7785396333579179,8.024107024386776
direction_ablation_across_layers_everything,value,zh,1.8837757320194455,5.4677148937240965
direction_ablation_across_layers_everything,value,ja,0.21698680290809044,1.1925583379022733
direction_ablation_across_layers_everything,value,ko,-6.8682306710180345,6.442823391335263
amplification,description,en,-6.581730769230769,3.6434241124003823
amplification,description,fr,-12.332417582417582,5.403042795635178
amplification,description,de,-11.5625,5.25968022897886
amplification,description,es,-11.798763736263735,4.9716453147047694
amplification,description,zh,-3.5985576923076925,4.290134038322521
amplification,description,ja,0.020604395604395604,0.1616577921358626
amplification,description,ko,-12.140796703296703,3.712177237730217
amplification,frequency,en,-7.760989010989011,4.230537477002461
amplification,frequency,fr,-14.000343406593407,5.625054965984327
amplification,frequency,de,-13.01304945054945,5.134269365447426
amplification,frequency,es,-13.480425824175825,5.0023099012265355
amplification,frequency,zh,-3.197802197802198,4.286017355164686
amplification,frequency,ja,0.04189560439560439,0.3143079568802574
amplification,frequency,ko,-13.29532967032967,3.239822016047401
amplification,value,en,-4.102335164835165,3.190718915033052
amplification,value,fr,-9.846840659340659,5.296612384806349
amplification,value,de,-8.779532967032967,5.109540883811925
amplification,value,es,-9.649725274725276,4.943270881412504
amplification,value,zh,-2.693681318681319,3.944262875449243
amplification,value,ja,0.004120879120879121,0.039310681377071936
amplification,value,ko,-10.345467032967033,3.111349919427791
direction_intervention,description,en,-6.5782967032967035,3.635253618676436
direction_intervention,description,fr,-12.373969780219781,5.393058429313861
direction_intervention,description,de,-11.764423076923077,5.319187595615559
direction_intervention,description,es,-11.871909340659341,4.987593233397091
direction_intervention,description,zh,-3.54532967032967,4.296124969227618
direction_intervention,description,ja,0.012362637362637362,0.1179320441312158
direction_intervention,description,ko,-12.25,3.743246233032381
direction_intervention,frequency,en,-7.269574175824176,4.309566857665259
direction_intervention,frequency,fr,-14.012362637362637,5.681983510435972
