Experiment,Method,Run,mean,stdev
original,AnnSel,en,-2.5651041666666665,3.931752141344659
original,AnnSel,fr,-5.932291666666667,4.3179855140618395
original,AnnSel,de,-0.001736111111111111,0.01473139127471974
original,AnnSel,es,-5.479166666666667,3.8061812680257914
original,AnnSel,zh,-11.544270833333334,4.2073569753313915
original,AnnSel,ja,-11.73611111111111,3.7842511838792765
original,AnnSel,ko,-13.42361111111111,4.256354278135405
original,FreqSel,en,-2.779513888888889,4.025938842454598
original,FreqSel,fr,-6.210069444444445,4.332709402874538
original,FreqSel,de,-0.1579861111111111,0.5817776665750488
original,FreqSel,es,-5.727430555555555,3.9057208170507205
original,FreqSel,zh,-11.651041666666666,4.186018368322047
original,FreqSel,ja,-11.926215277777779,3.8214917399486414
original,FreqSel,ko,-13.85763888888889,4.428511058099075
original,ValSel,en,-2.7899305555555554,3.927508079357623
original,ValSel,fr,-6.157118055555555,4.2902633102267576
original,ValSel,de,-0.08506944444444445,0.4072550616633159
original,ValSel,es,-5.541666666666667,3.7570063655769754
original,ValSel,zh,-11.583333333333334,4.235814145931481
original,ValSel,ja,-11.893229166666666,3.8403642551502735
original,ValSel,ko,-13.54861111111111,4.16731949111195
distractor direction ablation,AnnSel,en,-3.507132636176215,7.475072284694369
distractor direction ablation,AnnSel,fr,-9.144094546635946,7.093169603441765
distractor direction ablation,AnnSel,de,0.02812904781765408,0.23868288552220626
distractor direction ablation,AnnSel,es,-8.662943455908033,6.271912759581856
distractor direction ablation,AnnSel,zh,-16.423025674290127,5.879697671100796
distractor direction ablation,AnnSel,ja,-16.774344232347275,5.511551329220491
distractor direction ablation,AnnSel,ko,-19.097626354959274,5.778600491806005
distractor direction ablation,FreqSel,en,-3.6424173381593494,10.415603525439499
distractor direction ablation,FreqSel,fr,-6.120610800054338,8.976555193763717
distractor direction ablation,FreqSel,de,0.40221373240152997,1.7786454205862696
distractor direction ablation,FreqSel,es,-5.618093815114763,9.81656192274747
distractor direction ablation,FreqSel,zh,-9.568974504868189,8.56303262304399
distractor direction ablation,FreqSel,ja,-9.69016851981481,8.732350246075693
distractor direction ablation,FreqSel,ko,-12.002124547958374,8.819561122060488
distractor direction ablation,ValSel,en,-3.611229909790887,6.846663126600883
distractor direction ablation,ValSel,fr,-9.47009312444263,7.60935201000267
distractor direction ablation,ValSel,de,0.18092793888515896,1.0338667381455786
distractor direction ablation,ValSel,es,-7.277419951226976,7.283257833122103
distractor direction ablation,ValSel,zh,-9.80078747537401,6.718371615946371
distractor direction ablation,ValSel,ja,-10.41646416982015,6.222281577971723
distractor direction ablation,ValSel,ko,-15.080525722768572,6.840320219460581
distractor ablation,AnnSel,en,-2.403169014084507,3.959346829198384
distractor ablation,AnnSel,fr,-5.943661971830986,4.467993254227105
distractor ablation,AnnSel,de,0.0017605633802816902,0.014834770727423167
distractor ablation,AnnSel,es,-5.496478873239437,3.95273254438046
distractor ablation,AnnSel,zh,-11.580985915492958,4.33440856236616
distractor ablation,AnnSel,ja,-11.774647887323944,3.9257261451994605
distractor ablation,AnnSel,ko,-13.393485915492958,4.418866743838152
distractor ablation,FreqSel,en,-2.529049295774648,3.93649123962928
distractor ablation,FreqSel,fr,-5.933978873239437,4.342466888134817
distractor ablation,FreqSel,de,0.0,0.0
distractor ablation,FreqSel,es,-5.466549295774648,3.833589663520275
distractor ablation,FreqSel,zh,-11.54137323943662,4.2419822436133305
distractor ablation,FreqSel,ja,-11.774647887323944,3.785140101572356
distractor ablation,FreqSel,ko,-13.42605633802817,4.29266023625485
distractor ablation,ValSel,en,-2.908450704225352,4.107346301058741
distractor ablation,ValSel,fr,-6.301056338028169,4.547483971973086
distractor ablation,ValSel,de,0.00528169014084507,0.0445043121822695
distractor ablation,ValSel,es,-5.623239436619718,3.959419879819296
distractor ablation,ValSel,zh,-10.998239436619718,4.313017202823461
distractor ablation,ValSel,ja,-11.121478873239436,3.9998170622779914
distractor ablation,ValSel,ko,-13.72975352112676,4.515273863607863
ablation,AnnSel,en,-2.5651408450704225,4.019267721313618
ablation,AnnSel,fr,-6.125,4.520476725017901
ablation,AnnSel,de,0.0035211267605633804,0.029669541454846335
ablation,AnnSel,es,-5.641725352112676,4.006592749803336
ablation,AnnSel,zh,-11.609154929577464,4.317966492783007
ablation,AnnSel,ja,-11.875,3.9045246189517107
ablation,AnnSel,ko,-13.574823943661972,4.393171696832151
ablation,FreqSel,en,-2.890845070422535,4.127335895839167
ablation,FreqSel,fr,-6.486795774647887,4.749317567201076
ablation,FreqSel,de,0.007042253521126761,0.05933908290969267
ablation,FreqSel,es,-5.84330985915493,4.105797746885492
ablation,FreqSel,zh,-10.902288732394366,4.341680935718966
ablation,FreqSel,ja,-10.943661971830986,4.0153605030954465
ablation,FreqSel,ko,-13.474471830985916,4.589676613170136
ablation,ValSel,en,-2.890845070422535,4.127335895839167
ablation,ValSel,fr,-6.486795774647887,4.749317567201076
ablation,ValSel,de,0.007042253521126761,0.05933908290969267
ablation,ValSel,es,-5.84330985915493,4.105797746885492
ablation,ValSel,zh,-10.902288732394366,4.341680935718966
ablation,ValSel,ja,-10.943661971830986,4.0153605030954465
ablation,ValSel,ko,-13.474471830985916,4.589676613170136
amplification,AnnSel,en,-3.619718309859155,3.597660860825698
amplification,AnnSel,fr,-6.59419014084507,4.250221544113232
amplification,AnnSel,de,0.0017605633802816902,0.014834770727423167
amplification,AnnSel,es,-5.707746478873239,3.5657531300987246
amplification,AnnSel,zh,-10.83230633802817,3.3375411290128114
amplification,AnnSel,ja,-11.747359154929578,3.3439950948177226
amplification,AnnSel,ko,-14.065140845070422,4.134181294994122
amplification,FreqSel,en,-1.2579225352112675,3.4037946520316402
amplification,FreqSel,fr,-4.609595070422535,4.066566897178178
amplification,FreqSel,de,0.035211267605633804,0.2966954145484633
amplification,FreqSel,es,-3.4357394366197185,3.5021712307297466
amplification,FreqSel,zh,-8.936179577464788,4.026514510356653
amplification,FreqSel,ja,-10.158010563380282,4.188129241515455
amplification,FreqSel,ko,-11.79137323943662,4.5759823260135
amplification,ValSel,en,-3.068661971830986,3.8489788031323022
amplification,ValSel,fr,-6.605633802816901,4.437306227526003
amplification,ValSel,de,0.017605633802816902,0.14834770727423166
amplification,ValSel,es,-5.838028169014085,3.7027616603666087
amplification,ValSel,zh,-11.498239436619718,3.8252271733278
amplification,ValSel,ja,-12.04137323943662,3.77733997459882
amplification,ValSel,ko,-14.434859154929578,4.42753454224091
intervention,AnnSel,en,-3.4911971830985915,3.629127818753301
intervention,AnnSel,fr,-6.555457746478873,4.328213469902597
intervention,AnnSel,de,0.007042253521126761,0.05933908290969267
intervention,AnnSel,es,-5.698943661971831,3.6452223786262787
intervention,AnnSel,zh,-10.776408450704226,3.368506683033574
intervention,AnnSel,ja,-11.669894366197184,3.406355389893063
intervention,AnnSel,ko,-13.954225352112676,4.244730947883448
intervention,FreqSel,en,-1.2720070422535212,3.4468233724204644
intervention,FreqSel,fr,-4.602992957746479,4.081744919011754
intervention,FreqSel,de,0.035211267605633804,0.2966954145484633
intervention,FreqSel,es,-3.4225352112676055,3.529890142537769
intervention,FreqSel,zh,-8.909330985915492,4.063921986467947
intervention,FreqSel,ja,-10.13556338028169,4.225903140943938
intervention,FreqSel,ko,-11.77068661971831,4.58935024865766
intervention,ValSel,en,-3.0088028169014085,3.597886528901251
intervention,ValSel,fr,-6.340669014084507,4.414563316815041
intervention,ValSel,de,0.01232394366197183,0.10384339509196217
intervention,ValSel,es,-5.455985915492958,3.5404139053544803
intervention,ValSel,zh,-10.475352112676056,3.60537295712382
intervention,ValSel,ja,-10.970950704225352,3.727115156098739
intervention,ValSel,ko,-13.574823943661972,4.47115781433671
one-layer direction intervention,AnnSel,en,-3.640625,3.594115489681573
one-layer direction intervention,AnnSel,fr,-6.553819444444445,4.226677222975777
one-layer direction intervention,AnnSel,de,0.003472222222222222,0.02946278254943948
one-layer direction intervention,AnnSel,es,-5.703993055555555,3.5481470977703116
one-layer direction intervention,AnnSel,zh,-10.848090277777779,3.3363202534056033
one-layer direction intervention,AnnSel,ja,-11.723090277777779,3.3475643209026176
one-layer direction intervention,AnnSel,ko,-14.114583333333334,4.122505114065107
one-layer direction intervention,FreqSel,en,-1.6375868055555556,3.8006904796049987
one-layer direction intervention,FreqSel,fr,-4.838541666666667,4.393005579255073
one-layer direction intervention,FreqSel,de,0.05381944444444445,0.45667312951631195
one-layer direction intervention,FreqSel,es,-3.5503472222222223,3.7288855232758755
one-layer direction intervention,FreqSel,zh,-8.96657986111111,4.277405318472539
one-layer direction intervention,FreqSel,ja,-10.258680555555555,4.594665288661172
one-layer direction intervention,FreqSel,ko,-12.413194444444445,4.7639546172756155
one-layer direction intervention,ValSel,en,-3.1397569444444446,3.6924649234919893
one-layer direction intervention,ValSel,fr,-6.450520833333333,4.3645743169145055
one-layer direction intervention,ValSel,de,0.017361111111111112,0.1473139127471974
one-layer direction intervention,ValSel,es,-5.711805555555555,3.594250279868515
one-layer direction intervention,ValSel,zh,-11.106770833333334,3.7241692153593506
one-layer direction intervention,ValSel,ja,-11.549479166666666,3.7158648486595314
one-layer direction intervention,ValSel,ko,-13.963541666666666,4.304381647163344
