Experiment,Method,Run,mean,stdev
original,description,en,-3.7793367346938775,2.358020628058201
original,description,fr,-9.362244897959183,4.372863609305949
original,description,de,-10.862882653061224,4.497024880665532
original,description,es,-8.66454081632653,3.4417954389646224
original,description,zh,0.0,0.0
original,description,ja,-4.323022959183674,3.6847221754728063
original,description,ko,-11.362882653061224,3.4207671253358445
original,frequency,en,-3.774234693877551,2.3518546752346543
original,frequency,fr,-9.360331632653061,4.3736448657935
original,frequency,de,-10.862882653061224,4.497024880665532
original,frequency,es,-8.66326530612245,3.4408036216714892
original,frequency,zh,0.0,0.0
original,frequency,ja,-4.323022959183674,3.6847221754728063
original,frequency,ko,-11.355867346938776,3.424164716831676
original,value,en,-3.774234693877551,2.3518546752346543
original,value,fr,-9.362882653061224,4.374831165402667
original,value,de,-10.86670918367347,4.495636466827979
original,value,es,-8.66326530612245,3.4408036216714892
original,value,zh,-0.002551020408163265,0.02525381361380527
original,value,ja,-4.324298469387755,3.6844122449929966
original,value,ko,-11.356505102040817,3.4246915682441488
ablation,description,en,-3.1167091836734695,2.2917208283897965
ablation,description,fr,-8.926658163265307,4.4362159234613285
ablation,description,de,-10.650510204081632,4.596490536536774
ablation,description,es,-8.324617346938776,3.5195246346081324
ablation,description,zh,0.002551020408163265,0.02525381361380527
ablation,description,ja,-4.159438775510204,3.6013841756676004
ablation,description,ko,-11.118622448979592,3.615104804530329
ablation,frequency,en,-3.725765306122449,2.348941975254779
ablation,frequency,fr,-9.290178571428571,4.366415085893642
ablation,frequency,de,-10.790816326530612,4.47806709348479
ablation,frequency,es,-8.599489795918368,3.416669980789301
ablation,frequency,zh,0.0,0.0
ablation,frequency,ja,-4.290816326530612,3.670748711787763
ablation,frequency,ko,-11.30420918367347,3.4350874588750977
ablation,value,en,-3.9260204081632653,2.3956701394609787
ablation,value,fr,-9.606505102040817,4.443020643739499
ablation,value,de,-11.142857142857142,4.596684708491366
ablation,value,es,-8.903698979591837,3.5271426410054567
ablation,value,zh,0.002551020408163265,0.01776485726335025
ablation,value,ja,-4.450573979591836,3.848737501228468
ablation,value,ko,-11.948979591836734,3.605086019905686
ablation_everything_except,description,en,-2.503826530612245,2.3346721332123166
ablation_everything_except,description,fr,-8.243622448979592,4.84061766691223
ablation_everything_except,description,de,-9.85140306122449,4.9438659153500115
ablation_everything_except,description,es,-7.514030612244898,3.684342858370038
ablation_everything_except,description,zh,0.007653061224489796,0.07576144084141581
ablation_everything_except,description,ja,-5.417729591836735,4.206556662458753
