Experiment,Method,Run,mean,stdev
original,description,en,-1.7894736842105263,3.8512422523083267
original,description,fr,-3.9884868421052633,4.353886081784627
original,description,de,-0.047697368421052634,0.3463903778392944
original,description,es,-3.145559210526316,4.181474373126545
original,description,zh,-10.185855263157896,4.146760453507284
original,description,ja,-10.845394736842104,3.941016600079891
original,description,ko,-11.949013157894736,4.676701011021683
original,frequency,en,-2.210526315789474,4.0267703418453
original,frequency,fr,-4.120065789473684,4.435695209954583
original,frequency,de,-0.19736842105263158,0.7012676491821604
original,frequency,es,-3.283717105263158,4.3495382991267215
original,frequency,zh,-10.611019736842104,4.508563595677888
original,frequency,ja,-11.069901315789474,3.9203790089052504
original,frequency,ko,-12.742598684210526,4.849967430144754
original,value,en,-1.7985197368421053,3.864577363214758
original,value,fr,-3.9720394736842106,4.367689066896557
original,value,de,-0.004934210526315789,0.04301545010073033
original,value,es,-3.1217105263157894,4.2187193793560605
original,value,zh,-10.251644736842104,4.135189103951426
original,value,ja,-10.828947368421053,3.9493059572359863
original,value,ko,-11.886513157894736,4.660178270534068
direction_ablation_across_layers,description,en,0.39977598190307617,5.86721258372644
direction_ablation_across_layers,description,fr,-0.7897032938505474,5.843060557101416
direction_ablation_across_layers,description,de,0.09811807933606599,0.47604699443532755
direction_ablation_across_layers,description,es,1.1321466596503007,4.9754404715080955
direction_ablation_across_layers,description,zh,-10.765499278118735,5.704335611911968
direction_ablation_across_layers,description,ja,-11.362238432231702,5.926184066626397
direction_ablation_across_layers,description,ko,-12.96019843377565,5.809019963618663
direction_ablation_across_layers,frequency,en,5.059121721669247,9.102174995296156
direction_ablation_across_layers,frequency,fr,0.7088488026669151,8.806207046186456
direction_ablation_across_layers,frequency,de,0.4854417976580168,2.1643706232730775
direction_ablation_across_layers,frequency,es,1.249550505688316,8.61351671179054
direction_ablation_across_layers,frequency,zh,-1.6139359160473472,7.982973375433102
direction_ablation_across_layers,frequency,ja,-4.565918602441487,8.195830917766195
direction_ablation_across_layers,frequency,ko,-3.5369780314596078,8.37278210530112
direction_ablation_across_layers,value,en,-1.7330967752557052,6.481616615050045
direction_ablation_across_layers,value,fr,-4.720563562292802,7.386043955088782
direction_ablation_across_layers,value,de,0.07554242485447933,0.6585635917813815
direction_ablation_across_layers,value,es,-1.9050258084347373,6.03131609785197
direction_ablation_across_layers,value,zh,-11.503006621410972,6.372580521345094
direction_ablation_across_layers,value,ja,-12.229021477071862,6.614703124057574
direction_ablation_across_layers,value,ko,-15.601740372808356,7.362067951471494
direction_ablation_across_layers_everything,description,en,-1.586554715507909,6.500472411534378
direction_ablation_across_layers_everything,description,fr,-0.464541799143741,7.0318104598600835
direction_ablation_across_layers_everything,description,de,0.19366236736899928,1.1255182879200576
direction_ablation_across_layers_everything,description,es,0.5065417289733887,6.037867821034002
direction_ablation_across_layers_everything,description,zh,-5.986896903891313,7.428107276900312
direction_ablation_across_layers_everything,description,ja,-8.721547314995213,7.100060717780388
direction_ablation_across_layers_everything,description,ko,-11.093195331724067,7.8119234441512
direction_ablation_across_layers_everything,frequency,en,-1.5001995516450781,7.705305708176966
direction_ablation_across_layers_everything,frequency,fr,-0.6655819149393785,8.56270853283896
direction_ablation_across_layers_everything,frequency,de,0.4156860144514787,2.1784422173541524
direction_ablation_across_layers_everything,frequency,es,1.163050086874711,8.06519044554986
direction_ablation_across_layers_everything,frequency,zh,-1.7957716725374524,7.161283234363189
direction_ablation_across_layers_everything,frequency,ja,-3.55858659901117,7.596019915165585
direction_ablation_across_layers_everything,frequency,ko,-3.3623606452816412,9.235605821523238
direction_ablation_across_layers_everything,value,en,-1.1887027182077106,7.114642155472966
direction_ablation_across_layers_everything,value,fr,-3.780343482368871,7.914159179030456
direction_ablation_across_layers_everything,value,de,0.06393821615921824,0.3355019109762737
direction_ablation_across_layers_everything,value,es,-2.2715990417882015,7.713177144247671
direction_ablation_across_layers_everything,value,zh,-6.61764238068932,8.061548895098243
direction_ablation_across_layers_everything,value,ja,-7.312056811232316,7.702563430625409
direction_ablation_across_layers_everything,value,ko,-12.35205218039061,7.866110826263713
amplification,description,en,-3.5300324675324677,3.4784582965219686
amplification,description,fr,-6.176136363636363,4.193800828099202
amplification,description,de,0.0,0.0
amplification,description,es,-5.322240259740259,3.362382985256444
amplification,description,zh,-10.6700487012987,3.2751058292058732
amplification,description,ja,-11.655844155844155,3.23158089292196
amplification,description,ko,-13.803571428571429,4.159256607978767
amplification,frequency,en,-1.0892857142857142,3.3865911544732397
amplification,frequency,fr,-4.185064935064935,3.9683607035348407
amplification,frequency,de,0.0,0.0
amplification,frequency,es,-3.1055194805194803,3.3117863205284244
amplification,frequency,zh,-8.999188311688311,4.277914128564848
amplification,frequency,ja,-10.02353896103896,4.157718737335537
amplification,frequency,ko,-11.463474025974026,4.698196137003082
amplification,value,en,-3.0986201298701297,3.611636925585673
amplification,value,fr,-5.667207792207792,4.210615226761194
amplification,value,de,0.0,0.0
amplification,value,es,-4.679788961038961,3.58331636102632
amplification,value,zh,-11.175730519480519,3.783366628937463
amplification,value,ja,-11.885957792207792,3.585609222854246
amplification,value,ko,-14.169642857142858,4.491721381914106
direction_intervention,description,en,-3.580592105263158,3.4778737486291114
direction_intervention,description,fr,-6.2475328947368425,4.165351135527093
direction_intervention,description,de,0.0,0.0
direction_intervention,description,es,-5.357730263157895,3.3633533409786027
direction_intervention,description,zh,-10.650904605263158,3.302912178408398
direction_intervention,description,ja,-11.681332236842104,3.2665245760053496
direction_intervention,description,ko,-13.729440789473685,4.180116477617265
direction_intervention,frequency,en,-0.7006578947368421,3.4778662608085114
direction_intervention,frequency,fr,-4.3129111842105265,4.004705869287603
direction_intervention,frequency,de,0.0,0.0
direction_intervention,frequency,es,-3.310032894736842,3.537988641008265
direction_intervention,frequency,zh,-8.48108552631579,4.3792035726740375
direction_intervention,frequency,ja,-9.631990131578947,4.306356126789173
direction_intervention,frequency,ko,-11.44078947368421,5.0095626756987865
direction_intervention,value,en,-3.1628289473684212,3.4910761077855175
direction_intervention,value,fr,-5.818256578947368,4.0970286188028355
direction_intervention,value,de,0.0,0.0
direction_intervention,value,es,-4.879934210526316,3.5275517235443483
direction_intervention,value,zh,-11.208470394736842,3.762975427319695
direction_intervention,value,ja,-11.771381578947368,3.5768141176829613
direction_intervention,value,ko,-13.976973684210526,4.51306947128355
