Experiment,Method,Run,mean,stdev
original,AnnSel,en,-0.05229591836734694,0.2655738470380531
original,AnnSel,fr,-7.566964285714286,4.5793604403372505
original,AnnSel,de,-7.566326530612245,3.9912397662455716
original,AnnSel,es,-7.632015306122449,3.9794482770818234
original,AnnSel,zh,-4.001275510204081,2.0874675824662945
original,AnnSel,ja,-3.7002551020408165,2.165360333153903
original,AnnSel,ko,-10.607780612244898,2.953622685688552
original,FreqSel,en,-0.26785714285714285,0.7919944157878737
original,FreqSel,fr,-7.649234693877551,4.600963528180799
original,FreqSel,de,-7.848852040816326,3.8879473118918857
original,FreqSel,es,-7.954719387755102,4.0832467922379205
original,FreqSel,zh,-4.113520408163265,2.1022000575714577
original,FreqSel,ja,-3.7614795918367347,2.204971591932354
original,FreqSel,ko,-11.15625,3.174228866700679
original,ValSel,en,-0.10076530612244898,0.413861842603673
original,ValSel,fr,-7.60140306122449,4.596610375215298
original,ValSel,de,-7.575255102040816,4.004819092690691
original,ValSel,es,-7.622448979591836,3.999958907321009
original,ValSel,zh,-4.026785714285714,2.0960735875765626
original,ValSel,ja,-3.582908163265306,2.0898929797328853
original,ValSel,ko,-10.61734693877551,2.9391551230167288
distractor direction ablation,AnnSel,en,0.15086713129160356,0.7315342285172903
distractor direction ablation,AnnSel,fr,-12.280543375988396,7.950529632946864
distractor direction ablation,AnnSel,de,-11.787531288302674,8.020051081663114
distractor direction ablation,AnnSel,es,-11.546069738816241,7.0843078374636725
distractor direction ablation,AnnSel,zh,-8.007186792334732,5.1445843638002895
distractor direction ablation,AnnSel,ja,-9.4884310352559,5.634778145737722
distractor direction ablation,AnnSel,ko,-12.290046536192602,5.9660534271291175
distractor direction ablation,FreqSel,en,0.4789684645983638,1.5712867373687736
distractor direction ablation,FreqSel,fr,-6.364940346503745,6.6376860888472216
distractor direction ablation,FreqSel,de,-5.044673379586667,6.820556603435144
distractor direction ablation,FreqSel,es,-4.349368791190946,6.16933615945181
distractor direction ablation,FreqSel,zh,-3.6894295848145777,4.700974395619533
distractor direction ablation,FreqSel,ja,-6.443920768037135,5.896747890788674
distractor direction ablation,FreqSel,ko,-9.922238272063586,5.856773446414247
distractor direction ablation,ValSel,en,0.1696249514209981,0.8972163757263795
distractor direction ablation,ValSel,fr,-15.88974886524434,9.611227586871609
distractor direction ablation,ValSel,de,-16.253327797870245,8.933327455873709
distractor direction ablation,ValSel,es,-15.730463981628418,8.047020074026676
distractor direction ablation,ValSel,zh,-15.53308679619614,5.025946709036931
distractor direction ablation,ValSel,ja,-17.35384530437236,5.828866795219593
distractor direction ablation,ValSel,ko,-24.53083680600536,6.9497610204180065
direction ablation,AnnSel,en,0.5283823499874193,1.618252677956561
direction ablation,AnnSel,fr,-5.15180778503418,7.307030036174754
direction ablation,AnnSel,de,-5.143554045229542,6.463766763042901
direction ablation,AnnSel,es,-4.151004158720678,5.855499630144905
direction ablation,AnnSel,zh,-3.5368693410133827,5.179417314238926
direction ablation,AnnSel,ja,-7.75030315165617,6.462482210979631
direction ablation,AnnSel,ko,-12.137612683432442,5.944283313503632
direction ablation,FreqSel,en,1.30073640054586,3.6644922653416474
direction ablation,FreqSel,fr,2.1004694724569517,8.476024375466906
direction ablation,FreqSel,de,3.3607025353276,9.568007461467504
direction ablation,FreqSel,es,3.571541114729278,8.716691211492526
direction ablation,FreqSel,zh,3.9392657365117754,6.525553979236172
direction ablation,FreqSel,ja,0.3286361840306496,7.869333540848508
direction ablation,FreqSel,ko,-0.5264620634974265,6.885908718261839
direction ablation,ValSel,en,0.27519479089853716,1.0119268893104756
direction ablation,ValSel,fr,-14.305054168311917,9.77651061841039
direction ablation,ValSel,de,-15.595990920553403,9.731827202532596
direction ablation,ValSel,es,-14.729164804731097,8.74369884258901
direction ablation,ValSel,zh,-14.627572234796018,5.114381184186378
direction ablation,ValSel,ja,-15.58938368972467,6.122049455441436
direction ablation,ValSel,ko,-23.575467401621292,7.27414928343646
distractor ablation,AnnSel,en,0.006377551020408163,0.06313453403451318
distractor ablation,AnnSel,fr,-6.895408163265306,4.3482778866015375
distractor ablation,AnnSel,de,-6.991071428571429,3.8017053959408496
distractor ablation,AnnSel,es,-6.774234693877551,3.695650313296074
distractor ablation,AnnSel,zh,-4.5542091836734695,1.6397437251417049
distractor ablation,AnnSel,ja,-5.64094387755102,2.196205270956844
distractor ablation,AnnSel,ko,-8.817602040816327,2.4939952607441636
distractor ablation,FreqSel,en,0.0,0.0
distractor ablation,FreqSel,fr,-7.111607142857143,4.362216688729824
distractor ablation,FreqSel,de,-7.272321428571429,3.7979245425871175
distractor ablation,FreqSel,es,-7.01530612244898,3.7544975308883433
distractor ablation,FreqSel,zh,-4.274234693877551,1.657501901235217
distractor ablation,FreqSel,ja,-5.457270408163265,2.2381488602091464
distractor ablation,FreqSel,ko,-9.39923469387755,2.5004611793226044
distractor ablation,ValSel,en,0.006377551020408163,0.04530981899140023
distractor ablation,ValSel,fr,-6.850765306122449,4.4491111762669995
distractor ablation,ValSel,de,-7.1313775510204085,3.952291699853132
distractor ablation,ValSel,es,-6.684311224489796,3.757695845130615
distractor ablation,ValSel,zh,-5.3207908163265305,2.059415409649646
distractor ablation,ValSel,ja,-6.44515306122449,2.5096826876769867
distractor ablation,ValSel,ko,-9.996173469387756,2.7995451398783886
ablation,AnnSel,en,0.00510204081632653,0.05050762722761054
ablation,AnnSel,fr,-7.119260204081633,4.456820387350268
ablation,AnnSel,de,-7.107142857142857,3.828064182664384
ablation,AnnSel,es,-6.955994897959184,3.7523425799895413
ablation,AnnSel,zh,-4.701530612244898,1.6320359822953776
ablation,AnnSel,ja,-5.790178571428571,2.180451641773649
ablation,AnnSel,ko,-9.008928571428571,2.426463582142522
ablation,FreqSel,en,0.002551020408163265,0.01776485726335025
ablation,FreqSel,fr,-7.111607142857143,4.334944116840957
ablation,FreqSel,de,-7.20344387755102,3.802397160258719
ablation,FreqSel,es,-7.0707908163265305,3.7801476917933328
ablation,FreqSel,zh,-4.29655612244898,1.6354568198837893
ablation,FreqSel,ja,-5.228954081632653,2.156769489146456
ablation,FreqSel,ko,-9.41454081632653,2.4943135676122568
ablation,ValSel,en,0.002551020408163265,0.01776485726335025
ablation,ValSel,fr,-7.111607142857143,4.334944116840957
ablation,ValSel,de,-7.20344387755102,3.802397160258719
ablation,ValSel,es,-7.0707908163265305,3.7801476917933328
ablation,ValSel,zh,-4.29655612244898,1.6354568198837893
ablation,ValSel,ja,-5.228954081632653,2.156769489146456
ablation,ValSel,ko,-9.41454081632653,2.4943135676122568
amplification,AnnSel,en,0.003826530612244898,0.037880720420707906
amplification,AnnSel,fr,-7.3667091836734695,4.5193744377827185
amplification,AnnSel,de,-7.338647959183674,3.850907430354661
amplification,AnnSel,es,-7.339923469387755,3.9605523678542207
amplification,AnnSel,zh,-4.202168367346939,2.1535154859355705
amplification,AnnSel,ja,-3.892857142857143,2.1477519114636765
amplification,AnnSel,ko,-10.255739795918368,2.793803646575123
amplification,FreqSel,en,0.007653061224489796,0.04686130050881704
amplification,FreqSel,fr,-7.294642857142857,4.456205131640344
amplification,FreqSel,de,-7.21875,3.8247200431541595
amplification,FreqSel,es,-7.29655612244898,3.9252674824365115
amplification,FreqSel,zh,-3.943877551020408,2.128474452550688
amplification,FreqSel,ja,-3.524234693877551,2.02830392327572
amplification,FreqSel,ko,-10.619260204081632,3.040455409822944
amplification,ValSel,en,0.008928571428571428,0.057464691086348704
amplification,ValSel,fr,-9.043367346938776,5.4606901812332875
amplification,ValSel,de,-8.435586734693878,4.649960977014793
amplification,ValSel,es,-8.806760204081632,4.710840402199792
amplification,ValSel,zh,-3.9496173469387754,2.836355844804346
amplification,ValSel,ja,-3.154974489795918,2.453780706276981
amplification,ValSel,ko,-12.783801020408163,3.6877584695295025
intervention,AnnSel,en,0.00510204081632653,0.05050762722761054
intervention,AnnSel,fr,-7.104591836734694,4.434234273758193
intervention,AnnSel,de,-7.063137755102041,3.7632871870849005
intervention,AnnSel,es,-6.92219387755102,3.790142332441925
intervention,AnnSel,zh,-4.762117346938775,1.7480811037723865
intervention,AnnSel,ja,-5.895408163265306,2.270006548138676
intervention,AnnSel,ko,-9.079081632653061,2.4304360207582856
intervention,FreqSel,en,0.007653061224489796,0.04686130050881704
intervention,FreqSel,fr,-6.9375,4.307188010373013
intervention,FreqSel,de,-7.104591836734694,3.7413428369287183
intervention,FreqSel,es,-6.831632653061225,3.7655220866852632
intervention,FreqSel,zh,-4.127551020408164,1.681365768619531
intervention,FreqSel,ja,-5.237244897959184,2.1848743296386424
intervention,FreqSel,ko,-9.720663265306122,2.732771773466117
intervention,ValSel,en,0.01403061224489796,0.08771632511912932
intervention,ValSel,fr,-9.095025510204081,5.795728280456988
intervention,ValSel,de,-8.850127551020408,5.021552612567104
intervention,ValSel,es,-8.572704081632653,4.781861180510565
intervention,ValSel,zh,-5.987244897959184,2.9344887392961954
intervention,ValSel,ja,-6.735969387755102,2.9699218470195046
intervention,ValSel,ko,-13.564413265306122,3.9988264838017384
one-layer direction intervention,AnnSel,en,0.008928571428571428,0.07667796495264041
one-layer direction intervention,AnnSel,fr,-7.450892857142857,4.6276657997165245
one-layer direction intervention,AnnSel,de,-7.433673469387755,4.067109957031877
one-layer direction intervention,AnnSel,es,-7.502551020408164,4.1323146483587365
one-layer direction intervention,AnnSel,zh,-4.5063775510204085,2.142974499731893
one-layer direction intervention,AnnSel,ja,-4.60140306122449,2.27568945784508
one-layer direction intervention,AnnSel,ko,-10.932397959183673,3.0372562249632917
one-layer direction intervention,FreqSel,en,0.03188775510204082,0.143940342929783
one-layer direction intervention,FreqSel,fr,-8.12563775510204,4.9484170293950855
one-layer direction intervention,FreqSel,de,-8.13265306122449,4.282445749807239
one-layer direction intervention,FreqSel,es,-8.33609693877551,4.546460786001604
one-layer direction intervention,FreqSel,zh,-4.379464285714286,2.437545433094953
one-layer direction intervention,FreqSel,ja,-4.39094387755102,2.274393668926026
one-layer direction intervention,FreqSel,ko,-12.264030612244898,3.5833630217220502
one-layer direction intervention,ValSel,en,0.03316326530612245,0.20586677174526122
one-layer direction intervention,ValSel,fr,-9.556760204081632,5.8906424702678795
one-layer direction intervention,ValSel,de,-8.815051020408163,4.9950919723067235
one-layer direction intervention,ValSel,es,-9.32015306122449,5.135104959029393
one-layer direction intervention,ValSel,zh,-4.027423469387755,3.0976908063445503
one-layer direction intervention,ValSel,ja,-4.191326530612245,2.8130772077592616
one-layer direction intervention,ValSel,ko,-13.173469387755102,3.72854181290751
