Experiment,Method,Run,mean,stdev
original,AnnSel,en,1.1279761904761905,2.803489662649553
original,AnnSel,fr,-1.5133928571428572,3.3213194060216242
original,AnnSel,de,-3.1558779761904763,3.608302757099053
original,AnnSel,es,-0.05952380952380952,0.40118245334518265
original,AnnSel,zh,-0.5424107142857143,3.7027286715915317
original,AnnSel,ja,-0.8363095238095238,4.322424027013754
original,AnnSel,ko,-5.470238095238095,3.388839265756592
original,FreqSel,en,0.9635416666666666,2.8164414873839347
original,FreqSel,fr,-1.6063988095238095,3.2634075239460922
original,FreqSel,de,-3.4110863095238093,3.5643242464140905
original,FreqSel,es,-0.28720238095238093,1.0150931321717307
original,FreqSel,zh,-0.6592261904761905,3.634923641004347
original,FreqSel,ja,-0.8578869047619048,4.390499129316079
original,FreqSel,ko,-5.806547619047619,3.591329646556443
original,ValSel,en,1.1116071428571428,2.7239848236925623
original,ValSel,fr,-1.4813988095238095,3.2504601701836577
original,ValSel,de,-3.1692708333333335,3.6603497131973763
original,ValSel,es,-0.013392857142857142,0.12274756325774572
original,ValSel,zh,-0.5104166666666666,3.66136250960033
original,ValSel,ja,-0.7202380952380952,4.285536188688105
original,ValSel,ko,-5.441220238095238,3.3328942995171866
distractor direction ablation,AnnSel,en,-1.218876146134876,6.030514869321243
distractor direction ablation,AnnSel,fr,-2.8613616057804654,6.077906612368329
distractor direction ablation,AnnSel,de,-4.735130752835955,6.369154642996013
distractor direction ablation,AnnSel,es,0.0992238408043271,0.6581879818528854
distractor direction ablation,AnnSel,zh,-3.655759482156663,6.466603758135514
distractor direction ablation,AnnSel,ja,-6.070542596635365,7.283283309189508
distractor direction ablation,AnnSel,ko,-5.994911386853173,7.267833289585382
distractor direction ablation,FreqSel,en,-1.5957114015306746,6.082728142882203
distractor direction ablation,FreqSel,fr,-1.5223434084937686,6.849445111287962
distractor direction ablation,FreqSel,de,-0.021477194059462773,7.06334649412085
distractor direction ablation,FreqSel,es,0.901429948352632,3.012391559310848
distractor direction ablation,FreqSel,zh,-0.9937967118762788,5.877801655970338
distractor direction ablation,FreqSel,ja,-3.416443938300723,5.922752484813427
distractor direction ablation,FreqSel,ko,-5.112973370722362,5.874226362202209
distractor direction ablation,ValSel,en,0.9903894946688697,6.673955678945064
distractor direction ablation,ValSel,fr,-3.369609174274263,6.797420173649724
distractor direction ablation,ValSel,de,-6.3142941906338645,8.005037070359927
distractor direction ablation,ValSel,es,0.030942122141520183,0.28358923375217066
distractor direction ablation,ValSel,zh,-7.9817436536153155,6.5582738319067735
distractor direction ablation,ValSel,ja,-10.402606078556605,7.167889236332001
distractor direction ablation,ValSel,ko,-13.636570385524205,6.557563883491109
direction ablation,AnnSel,en,-1.8121531009674072,6.521246711681614
direction ablation,AnnSel,fr,-1.7417503879183815,6.98561981273977
direction ablation,AnnSel,de,-2.426764556339809,5.666350927339575
direction ablation,AnnSel,es,0.2729866618201846,0.9370131939518583
direction ablation,AnnSel,zh,-3.3383686656043645,6.9731108037759
direction ablation,AnnSel,ja,-7.569452092761085,6.790034609878115
direction ablation,AnnSel,ko,-9.3075350352696,6.733752282255304
direction ablation,FreqSel,en,-1.170921348390125,8.246380902402436
direction ablation,FreqSel,fr,-0.7865116170474461,9.060998139201773
direction ablation,FreqSel,de,1.0539321558816093,8.638165426610051
direction ablation,FreqSel,es,1.1810650257837205,2.9763703589865855
direction ablation,FreqSel,zh,1.7408577643689656,7.036714148698129
direction ablation,FreqSel,ja,-0.8256104148569561,7.652093917297907
direction ablation,FreqSel,ko,-2.7522840350866318,7.296768900980437
direction ablation,ValSel,en,3.462649240380242,6.233285862533314
direction ablation,ValSel,fr,-1.504452448515665,8.406107107135343
direction ablation,ValSel,de,-0.01940730285076868,8.104980756771857
direction ablation,ValSel,es,0.9775630590461549,3.0401842594419413
direction ablation,ValSel,zh,2.899958386307671,7.646440768332282
direction ablation,ValSel,ja,0.5049893032936823,8.17164043311773
direction ablation,ValSel,ko,-7.110427950109754,7.642102794485768
distractor ablation,AnnSel,en,1.1436011904761905,2.544831087466024
distractor ablation,AnnSel,fr,-1.4322916666666667,3.232768387471975
distractor ablation,AnnSel,de,-3.0892857142857144,3.7004289594111763
distractor ablation,AnnSel,es,0.005952380952380952,0.042972926406067806
distractor ablation,AnnSel,zh,-1.5587797619047619,3.2000969369270775
distractor ablation,AnnSel,ja,-2.597470238095238,3.540367350716479
distractor ablation,AnnSel,ko,-4.651785714285714,3.385988438630653
distractor ablation,FreqSel,en,0.9337797619047619,2.6095599988614504
distractor ablation,FreqSel,fr,-1.556547619047619,3.246604155094024
distractor ablation,FreqSel,de,-3.353794642857143,3.732398326587655
distractor ablation,FreqSel,es,0.005952380952380952,0.0545544725589981
distractor ablation,FreqSel,zh,-1.1473214285714286,3.318251185727729
distractor ablation,FreqSel,ja,-2.3169642857142856,3.7422709721277005
distractor ablation,FreqSel,ko,-5.365327380952381,3.369843423031295
distractor ablation,ValSel,en,1.0208333333333333,2.537952385139829
distractor ablation,ValSel,fr,-1.4382440476190477,3.2815098727788197
distractor ablation,ValSel,de,-3.375,3.8545417976563074
distractor ablation,ValSel,es,0.0,0.0
distractor ablation,ValSel,zh,-2.7529761904761907,3.711751536580243
distractor ablation,ValSel,ja,-3.662202380952381,3.94112735776386
distractor ablation,ValSel,ko,-5.868303571428571,3.6274921047449697
ablation,AnnSel,en,1.087797619047619,2.6280303622778987
ablation,AnnSel,fr,-1.6175595238095237,3.3287692191689287
ablation,AnnSel,de,-3.1090029761904763,3.8207233246645345
ablation,AnnSel,es,0.008928571428571428,0.05054564577061342
ablation,AnnSel,zh,-1.615327380952381,3.229917885201552
ablation,AnnSel,ja,-2.6547619047619047,3.5600812993933584
ablation,AnnSel,ko,-4.680803571428571,3.475508894017785
ablation,FreqSel,en,1.0401785714285714,2.6182256760294025
ablation,FreqSel,fr,-1.7098214285714286,3.321086604228847
ablation,FreqSel,de,-3.080357142857143,3.748262291014
ablation,FreqSel,es,0.008928571428571428,0.05751412308782167
ablation,FreqSel,zh,-0.29538690476190477,3.2715825196437422
ablation,FreqSel,ja,-1.1175595238095237,3.6218880072937214
ablation,FreqSel,ko,-5.145833333333333,3.278078047077422
ablation,ValSel,en,1.0401785714285714,2.6182256760294025
ablation,ValSel,fr,-1.7098214285714286,3.321086604228847
ablation,ValSel,de,-3.080357142857143,3.748262291014
ablation,ValSel,es,0.008928571428571428,0.05751412308782167
ablation,ValSel,zh,-0.29538690476190477,3.2715825196437422
ablation,ValSel,ja,-1.1175595238095237,3.6218880072937214
ablation,ValSel,ko,-5.145833333333333,3.278078047077422
amplification,AnnSel,en,-1.599702380952381,2.651421799894939
amplification,AnnSel,fr,-3.2805059523809526,3.805024198816428
amplification,AnnSel,de,-6.250372023809524,4.077585793438622
amplification,AnnSel,es,0.013392857142857142,0.09897413777530416
amplification,AnnSel,zh,-3.8355654761904763,3.5503422826502895
amplification,AnnSel,ja,-5.127976190476191,4.1883136770372875
amplification,AnnSel,ko,-8.985863095238095,3.347941385416999
amplification,FreqSel,en,-1.0751488095238095,2.610289023811327
