Experiment,Method,Run,mean,stdev
original,AnnSel,en,0.8024088541666666,3.3448135138244828
original,AnnSel,fr,-2.356201171875,4.510419249673937
original,AnnSel,de,0.0,0.0
original,AnnSel,es,-2.3450520833333335,3.8327919770532857
original,AnnSel,zh,-3.0797526041666665,3.6186192418872016
original,AnnSel,ja,-4.04931640625,3.8553688376078545
original,AnnSel,ko,0.5201822916666666,4.094298575053255
original,FreqSel,en,0.8024088541666666,3.3448135138244828
original,FreqSel,fr,-2.356201171875,4.510419249673937
original,FreqSel,de,0.0,0.0
original,FreqSel,es,-2.3450520833333335,3.8327919770532857
original,FreqSel,zh,-3.0797526041666665,3.6186192418872016
original,FreqSel,ja,-4.04931640625,3.8553688376078545
original,FreqSel,ko,0.5201822916666666,4.094298575053255
original,ValSel,en,0.8024088541666666,3.3448135138244828
original,ValSel,fr,-2.356201171875,4.510419249673937
original,ValSel,de,0.0,0.0
original,ValSel,es,-2.3450520833333335,3.8327919770532857
original,ValSel,zh,-3.0797526041666665,3.6186192418872016
original,ValSel,ja,-4.04931640625,3.8553688376078545
original,ValSel,ko,0.5201822916666666,4.094298575053255
distractor ablation,AnnSel,en,0.7555338541666666,3.339383199945564
distractor ablation,AnnSel,fr,-2.3963216145833335,4.514216578180392
distractor ablation,AnnSel,de,0.0,0.0
distractor ablation,AnnSel,es,-2.3704427083333335,3.8299374178065486
distractor ablation,AnnSel,zh,-3.1233723958333335,3.621321210079561
distractor ablation,AnnSel,ja,-4.100911458333333,3.868544280642058
distractor ablation,AnnSel,ko,0.453125,4.106424984255257
distractor ablation,FreqSel,en,0.6204427083333334,2.73640847007609
distractor ablation,FreqSel,fr,-2.6994222005208335,4.13914654315789
distractor ablation,FreqSel,de,0.0,0.0
distractor ablation,FreqSel,es,-2.6106770833333335,3.449369211578414
distractor ablation,FreqSel,zh,-3.1611328125,3.2598166777146753
distractor ablation,FreqSel,ja,-4.439778645833333,3.7227553197707346
distractor ablation,FreqSel,ko,-2.1803385416666665,3.506477438815193
distractor ablation,ValSel,en,0.5891927083333334,2.829397264594288
distractor ablation,ValSel,fr,-2.4573974609375,4.102853222589411
distractor ablation,ValSel,de,0.0,0.0
distractor ablation,ValSel,es,-2.4270833333333335,3.2626608987681935
distractor ablation,ValSel,zh,-4.383463541666667,3.4809351505509274
distractor ablation,ValSel,ja,-5.105143229166667,3.944699245047045
distractor ablation,ValSel,ko,-3.5735677083333335,3.5967021031844624
ablation,AnnSel,en,0.8251953125,3.3048340358049204
ablation,AnnSel,fr,-2.4104817708333335,4.53586906084867
ablation,AnnSel,de,0.0,0.0
ablation,AnnSel,es,-2.3414713541666665,3.815231023540589
ablation,AnnSel,zh,-3.4430338541666665,3.5064525658945036
