Experiment,Method,Run,mean,stdev
original,description,en,1.4839939024390243,3.136226915974174
original,description,fr,-1.3239329268292683,3.561574333507581
original,description,de,-2.7888719512195124,4.251073759645237
original,description,es,-0.09146341463414634,0.44185390007937786
original,description,zh,-1.836890243902439,3.4468623359678174
original,description,ja,-3.5685975609756095,3.8991755043625744
original,description,ko,1.7164634146341464,3.810383129192861
original,frequency,en,1.1440548780487805,3.3759956382407186
original,frequency,fr,-1.4245426829268293,3.465754223048055
original,frequency,de,-3.026676829268293,4.336682182746142
original,frequency,es,-0.6608231707317073,1.7775887076056447
original,frequency,zh,-2.0480182926829267,3.4109779140164718
original,frequency,ja,-3.7397103658536586,3.9064152893364517
original,frequency,ko,1.3429878048780488,3.942062611055166
original,value,en,1.3246951219512195,3.2087758085993565
original,value,fr,-1.2865853658536586,3.472721508818104
original,value,de,-2.7964939024390243,4.2153728592563375
original,value,es,-0.2301829268292683,0.741780971267488
original,value,zh,-1.8277439024390243,3.4420433075624137
original,value,ja,-3.638719512195122,3.931512746502403
original,value,ko,1.611280487804878,3.8064808332547218
direction_ablation_across_layers,description,en,-1.4030452356105898,4.979485294835219
direction_ablation_across_layers,description,fr,-2.1880758332043158,5.077428631555252
direction_ablation_across_layers,description,de,-5.941909208530333,6.719928531102695
direction_ablation_across_layers,description,es,0.30037333325641913,1.2035810356240064
direction_ablation_across_layers,description,zh,-4.541631686978224,5.487111459491719
direction_ablation_across_layers,description,ja,-7.286354309175072,6.796101692946022
direction_ablation_across_layers,description,ko,-5.974922668643114,6.340771649067175
direction_ablation_across_layers,frequency,en,-4.248634219169617,8.151048584748873
direction_ablation_across_layers,frequency,fr,-0.9060162989104666,8.446838550264447
direction_ablation_across_layers,frequency,de,2.4680651091947787,7.742861532610743
direction_ablation_across_layers,frequency,es,1.202982873451419,2.835540324785201
direction_ablation_across_layers,frequency,zh,-3.25716256368451,7.550507121509063
direction_ablation_across_layers,frequency,ja,-4.901866776187245,7.257197866553927
direction_ablation_across_layers,frequency,ko,-5.067650347221188,6.818359468758384
direction_ablation_across_layers,value,en,5.574433105747874,5.556224394276807
direction_ablation_across_layers,value,fr,0.6612983098844203,5.98562429343615
direction_ablation_across_layers,value,de,-1.4942440463275444,6.881326333072912
direction_ablation_across_layers,value,es,0.4155460508858285,1.553312238632155
direction_ablation_across_layers,value,zh,-4.205717546183888,6.582012897156978
direction_ablation_across_layers,value,ja,-3.193172920040968,6.855773164324756
direction_ablation_across_layers,value,ko,-10.843939292721632,6.922546204169028
direction_ablation_across_layers_everything,description,en,-0.8650539793619295,6.478366762766836
direction_ablation_across_layers_everything,description,fr,-0.3540027083420172,6.5462061828498035
direction_ablation_across_layers_everything,description,de,-0.7061582483896395,5.5331029655697925
direction_ablation_across_layers_everything,description,es,0.5920772378037615,1.5027524718462058
direction_ablation_across_layers_everything,description,zh,-2.3753241969317926,6.981292545881564
direction_ablation_across_layers_everything,description,ja,-6.952406714602215,6.615994822317815
direction_ablation_across_layers_everything,description,ko,-6.994724232976029,7.1355728847743425
direction_ablation_across_layers_everything,frequency,en,-1.9521380154097951,8.493849576491089
direction_ablation_across_layers_everything,frequency,fr,-0.4425937649680347,9.628995129462352
direction_ablation_across_layers_everything,frequency,de,1.1557457243523948,9.423979424671598
direction_ablation_across_layers_everything,frequency,es,1.0238648245974284,2.8106236574058734
direction_ablation_across_layers_everything,frequency,zh,-0.021157840403114875,8.297378542894299
direction_ablation_across_layers_everything,frequency,ja,-2.549111885268514,8.3789951593231
direction_ablation_across_layers_everything,frequency,ko,-2.6865331385193802,7.3027328335063855
direction_ablation_across_layers_everything,value,en,0.9122661439383902,7.790544842132391
direction_ablation_across_layers_everything,value,fr,0.3315694448424549,8.195728703339762
direction_ablation_across_layers_everything,value,de,1.5224842385547916,6.962279266303065
direction_ablation_across_layers_everything,value,es,0.6175019857360096,2.195889496826237
direction_ablation_across_layers_everything,value,zh,0.21564530890162398,7.904524179611432
direction_ablation_across_layers_everything,value,ja,-2.883274431635694,7.523588609026642
direction_ablation_across_layers_everything,value,ko,-6.107303837450539,7.383420429326192
amplification,description,en,-2.207317073170732,2.880611774349283
amplification,description,fr,-3.131859756097561,3.546905250150562
amplification,description,de,-6.250762195121951,4.474275903363285
amplification,description,es,0.09832317073170732,0.45527499064939864
amplification,description,zh,-5.192835365853658,3.3709280594252133
amplification,description,ja,-8.041158536585366,4.25037692945662
amplification,description,ko,-4.2248475609756095,3.843997592599085
amplification,frequency,en,-1.5663109756097562,3.1911418247905297
amplification,frequency,fr,-2.1783536585365852,3.486112798129565
amplification,frequency,de,-6.911585365853658,5.878585647487406
amplification,frequency,es,0.23323170731707318,0.9628040234773687
amplification,frequency,zh,-6.25,3.93336423010464
amplification,frequency,ja,-9.189786585365853,4.427827498696498
amplification,frequency,ko,-7.210365853658536,3.7269936276174547
amplification,value,en,-1.7728658536585367,2.769527891363771
amplification,value,fr,-3.060213414634146,3.5387712173271755
amplification,value,de,-5.7942073170731705,4.242953124387338
amplification,value,es,0.09908536585365854,0.42559317939917585
amplification,value,zh,-4.368140243902439,2.9692028747746946
amplification,value,ja,-7.15625,3.881605903544575
amplification,value,ko,-3.3208841463414633,3.4605465111980958
direction_intervention,description,en,-2.201219512195122,2.8513016911466176
direction_intervention,description,fr,-3.1333841463414633,3.5436100631449423
direction_intervention,description,de,-6.253048780487805,4.468650471988267
