Experiment,Method,Run,mean,stdev
original,description,en,-3.3004261363636362,2.610487007608972
original,description,fr,-8.176846590909092,4.115358175888256
original,description,de,-9.342329545454545,4.487710482296082
original,description,es,-8.041193181818182,3.4405079102717715
original,description,zh,-5.651278409090909,2.924804762968376
original,description,ja,-6.3508522727272725,2.7399966934696582
original,description,ko,0.0,0.0
original,frequency,en,-3.389914772727273,2.7416440828699082
original,frequency,fr,-8.243607954545455,4.104704947919671
original,frequency,de,-9.342329545454545,4.487710482296082
original,frequency,es,-8.228693181818182,3.721489879338911
original,frequency,zh,-5.661221590909091,2.937778502188223
original,frequency,ja,-6.387784090909091,2.8290486813332123
original,frequency,ko,-0.04261363636363636,0.29231436517518994
original,value,en,-3.3863636363636362,2.6677644357475603
original,value,fr,-8.256392045454545,4.1017504823942
original,value,de,-9.393465909090908,4.464460545725731
original,value,es,-8.198863636363637,3.707488265633745
original,value,zh,-5.661221590909091,2.937778502188223
original,value,ja,-6.355113636363637,2.740752238303553
original,value,ko,-0.004261363636363636,0.03997513431667696
ablation,description,en,-3.2720170454545454,2.583710572881327
ablation,description,fr,-8.1640625,4.118445599263735
ablation,description,de,-9.311789772727273,4.492185647232819
ablation,description,es,-8.019176136363637,3.428971368195824
ablation,description,zh,-5.629261363636363,2.918043529507274
ablation,description,ja,-6.3515625,2.7457567920322767
ablation,description,ko,0.0,0.0
ablation,frequency,en,0.6143465909090909,2.2453500320495747
ablation,frequency,fr,-3.9140625,3.5920434166318747
ablation,frequency,de,-4.240056818181818,3.952266445244532
ablation,frequency,es,-3.565340909090909,3.369393346045572
ablation,frequency,zh,-1.1399147727272727,2.180293843190138
ablation,frequency,ja,-1.8359375,2.5918527110802243
ablation,frequency,ko,0.02130681818181818,0.14083799757939425
ablation,value,en,1.7194602272727273,2.59928555747911
ablation,value,fr,-2.4467329545454546,3.7360316928595427
ablation,value,de,-3.227272727272727,4.128418361327277
ablation,value,es,-2.1931818181818183,3.3616519296987355
ablation,value,zh,-0.7890625,2.6933879050312064
ablation,value,ja,-1.0653409090909092,2.8872009518681114
ablation,value,ko,0.002840909090909091,0.026650089544451305
ablation_everything_except,description,en,-2.9879261363636362,2.5510741545832416
ablation_everything_except,description,fr,-7.980113636363637,4.117368696988205
ablation_everything_except,description,de,-9.114346590909092,4.533561604097728
ablation_everything_except,description,es,-7.8053977272727275,3.4410369971647854
ablation_everything_except,description,zh,-5.668323863636363,2.908465861394155
ablation_everything_except,description,ja,-6.510653409090909,2.7591478854496634
ablation_everything_except,description,ko,0.0,0.0
ablation_everything_except,frequency,en,-3.7045454545454546,2.6473923014751963
ablation_everything_except,frequency,fr,-8.592329545454545,4.187172714872711
ablation_everything_except,frequency,de,-9.550426136363637,4.576750673484418
ablation_everything_except,frequency,es,-8.321022727272727,3.510173302619126
ablation_everything_except,frequency,zh,-5.463068181818182,2.963993639356937
ablation_everything_except,frequency,ja,-6.065340909090909,2.7458646593145715
ablation_everything_except,frequency,ko,0.0,0.0
ablation_everything_except,value,en,-3.7045454545454546,2.6473923014751963
ablation_everything_except,value,fr,-8.592329545454545,4.187172714872711
ablation_everything_except,value,de,-9.550426136363637,4.576750673484418
ablation_everything_except,value,es,-8.321022727272727,3.510173302619126
ablation_everything_except,value,zh,-5.463068181818182,2.963993639356937
ablation_everything_except,value,ja,-6.065340909090909,2.7458646593145715
ablation_everything_except,value,ko,0.0,0.0
amplification,description,en,-3.5355113636363638,2.6768919123143937
amplification,description,fr,-8.441051136363637,4.202867431160152
amplification,description,de,-9.605113636363637,4.448596348253791
amplification,description,es,-8.318181818181818,3.495117134325276
amplification,description,zh,-5.774857954545454,2.9772928322389647
amplification,description,ja,-6.424715909090909,2.752760485753873
amplification,description,ko,0.0,0.0
amplification,frequency,en,-5.9921875,3.6540135548828006
amplification,frequency,fr,-9.502130681818182,4.657308892399152
amplification,frequency,de,-10.581143465909092,4.496246749786315
amplification,frequency,es,-9.12890625,4.4469903486929825
amplification,frequency,zh,-6.1999289772727275,3.7238990473519897
amplification,frequency,ja,-7.400923295454546,3.8095670765664607
amplification,frequency,ko,0.033025568181818184,0.2093022344469859
amplification,value,en,-3.2066761363636362,2.8975000054940074
amplification,value,fr,-7.43359375,4.122909095695482
amplification,value,de,-8.501775568181818,4.636321084008598
amplification,value,es,-7.095880681818182,3.8229811513513945
amplification,value,zh,-5.580965909090909,3.1036361561286543
amplification,value,ja,-6.5632102272727275,3.128252536070966
