Experiment,Method,Run,mean,stdev
original,AnnSel,en,307.5833333333333,1342.8792371669297
original,AnnSel,fr,5129.229166666667,22163.067666006493
original,AnnSel,de,2674.71875,10116.579727517777
original,AnnSel,es,2199.9479166666665,8504.625982518099
original,AnnSel,zh,541.4791666666666,2760.3717483402643
original,AnnSel,ja,7030.78125,23138.347522856657
original,AnnSel,ko,5738.4375,11985.713746669628
original,FreqSel,en,307.5833333333333,1342.8792371669297
original,FreqSel,fr,5129.229166666667,22163.067666006493
original,FreqSel,de,2674.71875,10116.579727517777
original,FreqSel,es,2199.9479166666665,8504.625982518099
original,FreqSel,zh,541.4791666666666,2760.3717483402643
original,FreqSel,ja,7030.78125,23138.347522856657
original,FreqSel,ko,5738.4375,11985.713746669628
original,ValSel,en,307.5833333333333,1342.8792371669297
original,ValSel,fr,5129.229166666667,22163.067666006493
original,ValSel,de,2674.71875,10116.579727517777
original,ValSel,es,2199.9479166666665,8504.625982518099
original,ValSel,zh,541.4791666666666,2760.3717483402643
original,ValSel,ja,7030.78125,23138.347522856657
original,ValSel,ko,5738.4375,11985.713746669628
distractor ablation,AnnSel,en,217.05208333333334,1055.6670265490832
distractor ablation,AnnSel,fr,4637.354166666667,22243.731396072333
distractor ablation,AnnSel,de,1865.4166666666667,6224.904471330703
distractor ablation,AnnSel,es,2243.0833333333335,9801.577366791173
distractor ablation,AnnSel,zh,1046.1354166666667,4427.279239632376
distractor ablation,AnnSel,ja,6431.770833333333,21501.066009547754
distractor ablation,AnnSel,ko,3320.6145833333335,7500.983667941989
distractor ablation,FreqSel,en,224.46875,1089.6685440331216
distractor ablation,FreqSel,fr,4968.229166666667,23526.388943159647
distractor ablation,FreqSel,de,1513.46875,4988.4706610197945
distractor ablation,FreqSel,es,2105.1666666666665,8664.960092436017
distractor ablation,FreqSel,zh,1050.6666666666667,4243.887869114125
distractor ablation,FreqSel,ja,6983.354166666667,23846.242118150527
distractor ablation,FreqSel,ko,3422.3541666666665,7908.1328370218
distractor ablation,ValSel,en,198.64583333333334,930.0467784405897
distractor ablation,ValSel,fr,4138.020833333333,20567.40156040451
distractor ablation,ValSel,de,1539.0104166666667,4849.019793503125
distractor ablation,ValSel,es,1448.65625,5364.844134348664
distractor ablation,ValSel,zh,2094.8854166666665,7388.835677624925
distractor ablation,ValSel,ja,10213.833333333334,30722.704437106844
distractor ablation,ValSel,ko,4607.520833333333,10332.137296578616
ablation,AnnSel,en,237.01041666666666,1167.957024216502
ablation,AnnSel,fr,4960.53125,23296.02798624382
ablation,AnnSel,de,1701.4270833333333,5423.71710709409
ablation,AnnSel,es,1991.7604166666667,8229.640827034653
ablation,AnnSel,zh,1189.0729166666667,5131.223902929555
ablation,AnnSel,ja,8221.833333333334,25560.1789725497
ablation,AnnSel,ko,2821.6041666666665,6352.093054931483
ablation,FreqSel,en,197.125,967.7744327226148
ablation,FreqSel,fr,4674.53125,22926.455039838802
ablation,FreqSel,de,1311.4375,4077.9978441761423
ablation,FreqSel,es,1783.1354166666667,7084.893385699777
ablation,FreqSel,zh,1293.2291666666667,5124.878478619179
ablation,FreqSel,ja,8156.041666666667,26565.39051707242
ablation,FreqSel,ko,3872.8229166666665,8147.144371521636
ablation,ValSel,en,286.3854166666667,1406.1749263781378
ablation,ValSel,fr,5688.895833333333,25517.52155696332
ablation,ValSel,de,2284.0416666666665,7387.633185429291
ablation,ValSel,es,2888.6875,12806.491987978516
ablation,ValSel,zh,792.8229166666666,3476.885142570458
ablation,ValSel,ja,5158.333333333333,17753.790499150295
ablation,ValSel,ko,3200.9583333333335,7266.304998765722
distractor one-layer direction ablation,AnnSel,en,375.9375,1508.1192736057226
distractor one-layer direction ablation,AnnSel,fr,5030.583333333333,22129.597998901438
distractor one-layer direction ablation,AnnSel,de,2294.65625,7136.36766640185
distractor one-layer direction ablation,AnnSel,es,2555.8229166666665,10920.765722136204
distractor one-layer direction ablation,AnnSel,zh,641.0208333333334,2956.8328432157437
distractor one-layer direction ablation,AnnSel,ja,9184.4375,28264.707378567582
distractor one-layer direction ablation,AnnSel,ko,5852.010416666667,11181.667781163569
distractor one-layer direction ablation,FreqSel,en,443.0520833333333,2119.490452020518
distractor one-layer direction ablation,FreqSel,fr,4228.364583333333,16886.99828121891
distractor one-layer direction ablation,FreqSel,de,2929.34375,10777.851716248197
distractor one-layer direction ablation,FreqSel,es,1842.1041666666667,6264.428731848061
distractor one-layer direction ablation,FreqSel,zh,779.8645833333334,3776.6097177781908
distractor one-layer direction ablation,FreqSel,ja,7988.71875,26827.251835911822
distractor one-layer direction ablation,FreqSel,ko,7692.270833333333,17090.98049694428
distractor one-layer direction ablation,ValSel,en,339.0416666666667,1419.1370982074889
distractor one-layer direction ablation,ValSel,fr,4888.020833333333,20068.44779562877
distractor one-layer direction ablation,ValSel,de,3059.53125,9323.104436605612
distractor one-layer direction ablation,ValSel,es,2211.71875,8485.39942886805
distractor one-layer direction ablation,ValSel,zh,702.8958333333334,3074.4281230453134
distractor one-layer direction ablation,ValSel,ja,8878.177083333334,28046.680958713998
distractor one-layer direction ablation,ValSel,ko,6134.854166666667,12364.293225574296
one-layer direction ablation,AnnSel,en,353.4479166666667,1369.9998453306994
one-layer direction ablation,AnnSel,fr,4942.979166666667,20967.165009770153
one-layer direction ablation,AnnSel,de,2640.9166666666665,8387.140474580767
one-layer direction ablation,AnnSel,es,2799.875,10760.177503182742
one-layer direction ablation,AnnSel,zh,754.25,3280.4078212448235
one-layer direction ablation,AnnSel,ja,11056.28125,34315.61880473154
one-layer direction ablation,AnnSel,ko,6807.40625,12662.757785252015
one-layer direction ablation,FreqSel,en,2589.875,12497.278925093213
one-layer direction ablation,FreqSel,fr,10623.885416666666,29683.034007172228
one-layer direction ablation,FreqSel,de,6859.59375,20315.445927501165
one-layer direction ablation,FreqSel,es,7171.020833333333,19103.84673745009
one-layer direction ablation,FreqSel,zh,3170.0833333333335,13013.285141016602
one-layer direction ablation,FreqSel,ja,14526.854166666666,39699.709953064594
one-layer direction ablation,FreqSel,ko,26444.75,41761.628047514474
one-layer direction ablation,ValSel,en,680.875,3649.414598333042
one-layer direction ablation,ValSel,fr,5673.802083333333,21680.972274576226
one-layer direction ablation,ValSel,de,4218.072916666667,14075.3942438904
one-layer direction ablation,ValSel,es,2620.4583333333335,9523.534473156671
one-layer direction ablation,ValSel,zh,1307.1145833333333,6846.99035361683
one-layer direction ablation,ValSel,ja,6876.5625,20248.314196138064
one-layer direction ablation,ValSel,ko,7076.572916666667,15160.293572178185
distractor multi-layer direction ablation,AnnSel,en,1638.8541666666667,7057.097290528342
distractor multi-layer direction ablation,AnnSel,fr,9636.052083333334,31688.7506170714
distractor multi-layer direction ablation,AnnSel,de,3604.6979166666665,11505.951979297079
distractor multi-layer direction ablation,AnnSel,es,7073.09375,24569.281584543576
distractor multi-layer direction ablation,AnnSel,zh,2291.6458333333335,10082.68827767796
distractor multi-layer direction ablation,AnnSel,ja,13401.25,34891.90270927746
distractor multi-layer direction ablation,AnnSel,ko,8458.604166666666,20014.327780225303
distractor multi-layer direction ablation,FreqSel,en,74542.90625,73330.42536327973
distractor multi-layer direction ablation,FreqSel,fr,40214.385416666664,54732.73831098086
distractor multi-layer direction ablation,FreqSel,de,29701.229166666668,50040.384196530744
distractor multi-layer direction ablation,FreqSel,es,27465.208333333332,35621.153322419224
distractor multi-layer direction ablation,FreqSel,zh,24217.541666666668,31960.555383131963
distractor multi-layer direction ablation,FreqSel,ja,43107.041666666664,42021.71520483356
distractor multi-layer direction ablation,FreqSel,ko,36179.010416666664,43852.98465518979
distractor multi-layer direction ablation,ValSel,en,886.0625,4279.6325981326945
distractor multi-layer direction ablation,ValSel,fr,3933.0833333333335,13972.141327555808
distractor multi-layer direction ablation,ValSel,de,3085.4583333333335,10410.919716605928
distractor multi-layer direction ablation,ValSel,es,2807.1145833333335,11651.152709965781
distractor multi-layer direction ablation,ValSel,zh,4374.583333333333,15780.274190578077
distractor multi-layer direction ablation,ValSel,ja,9217.572916666666,28232.323447739564
distractor multi-layer direction ablation,ValSel,ko,15594.583333333334,26784.056619236304
multi-layer direction ablation,AnnSel,en,3144.5625,11051.827478140389
multi-layer direction ablation,AnnSel,fr,7917.6875,27578.49689362787
multi-layer direction ablation,AnnSel,de,5940.25,26123.272950016286
multi-layer direction ablation,AnnSel,es,5826.875,23428.398189174743
multi-layer direction ablation,AnnSel,zh,4722.385416666667,11873.534391879846
multi-layer direction ablation,AnnSel,ja,15640.458333333334,33913.559279567984
multi-layer direction ablation,AnnSel,ko,20709.135416666668,30852.35329201248
multi-layer direction ablation,FreqSel,en,75359.17708333333,68720.24028801119
multi-layer direction ablation,FreqSel,fr,55715.875,61890.34975201155
multi-layer direction ablation,FreqSel,de,62552.677083333336,75728.06389964928
multi-layer direction ablation,FreqSel,es,52044.916666666664,63906.901811218886
multi-layer direction ablation,FreqSel,zh,57491.354166666664,50791.38086515305
multi-layer direction ablation,FreqSel,ja,86726.45833333333,70297.1036953596
multi-layer direction ablation,FreqSel,ko,71367.03125,63539.40597811444
