Experiment,Method,Run,mean,stdev
original,description,en,2.965029761904762,3.9269778512597036
original,description,fr,-0.07291666666666667,0.3966911018932554
original,description,de,-3.252232142857143,4.560126326224205
original,description,es,-0.40773809523809523,3.696792154258105
original,description,zh,2.595982142857143,4.085718478385049
original,description,ja,-1.920014880952381,5.2932663681230325
original,description,ko,-5.801711309523809,4.5107867654339335
original,frequency,en,2.683779761904762,4.359572100528442
original,frequency,fr,-0.21502976190476192,1.1063698028551856
original,frequency,de,-3.3645833333333335,4.532438651046697
original,frequency,es,-0.8296130952380952,3.9743429686221203
original,frequency,zh,2.5007440476190474,4.120622152620031
original,frequency,ja,-2.042782738095238,5.329883367863668
original,frequency,ko,-6.234747023809524,4.837172453107858
original,value,en,3.060267857142857,3.929399135100721
original,value,fr,-0.11011904761904762,0.48008327979261206
original,value,de,-3.15625,4.460022598746031
original,value,es,-0.37797619047619047,3.657376509625611
original,value,zh,2.646577380952381,4.027198265599307
original,value,ja,-1.8746279761904763,5.307271731990913
original,value,ko,-5.6796875,4.399096921267286
direction_ablation_across_layers,description,en,5.790602774847121,8.011420145578967
direction_ablation_across_layers,description,fr,0.35956171580723356,1.6408580654493348
direction_ablation_across_layers,description,de,-3.7302203519003734,8.185693211068257
direction_ablation_across_layers,description,es,0.15239428338550387,7.596735768954411
direction_ablation_across_layers,description,zh,1.697439540000189,8.729143907134434
direction_ablation_across_layers,description,ja,-5.314532853308178,9.775687955140338
direction_ablation_across_layers,description,ko,-8.78252979687282,8.372163481797323
direction_ablation_across_layers,frequency,en,-3.291903921536037,8.560314162407463
direction_ablation_across_layers,frequency,fr,0.3819240501948765,1.521863952767114
direction_ablation_across_layers,frequency,de,-1.2388044652484713,7.640044008284996
direction_ablation_across_layers,frequency,es,0.36787856760479154,6.6688707114475205
direction_ablation_across_layers,frequency,zh,1.1355884358996438,7.744708735602975
direction_ablation_across_layers,frequency,ja,-1.8198277325857253,7.8965227058107
direction_ablation_across_layers,frequency,ko,-2.3305109512238276,7.794743712369648
direction_ablation_across_layers,value,en,4.722410145260039,7.985529216189997
direction_ablation_across_layers,value,fr,0.12107754888988677,0.6176830673538081
direction_ablation_across_layers,value,de,-6.27861685979934,8.36554913246285
direction_ablation_across_layers,value,es,-1.1742651121956962,7.372474939296356
direction_ablation_across_layers,value,zh,-4.329620963051205,8.524870427430551
direction_ablation_across_layers,value,ja,-9.179940359933036,9.396751274472635
direction_ablation_across_layers,value,ko,-13.870787779490152,8.258392388809565
direction_ablation_across_layers_everything,description,en,1.454132046018328,7.031517610513483
direction_ablation_across_layers_everything,description,fr,0.562043825785319,1.8781112378846967
direction_ablation_across_layers_everything,description,de,-1.2457506826945715,6.429287070882801
direction_ablation_across_layers_everything,description,es,0.8968045030321393,6.545181804125502
direction_ablation_across_layers_everything,description,zh,-0.5283659980410621,7.649248930222896
direction_ablation_across_layers_everything,description,ja,-5.40421618166424,8.113629045003366
direction_ablation_across_layers_everything,description,ko,-8.070914711271014,7.464444555304681
direction_ablation_across_layers_everything,frequency,en,-1.4040392594678062,8.806129140213523
direction_ablation_across_layers_everything,frequency,fr,1.0735444313003903,2.6534037902867773
direction_ablation_across_layers_everything,frequency,de,2.253793512071882,9.489411418940364
direction_ablation_across_layers_everything,frequency,es,2.3793596682094393,8.83582539710418
direction_ablation_across_layers_everything,frequency,zh,1.3289124979859306,9.275523153722823
direction_ablation_across_layers_everything,frequency,ja,-1.7722167117255074,8.981354741091153
direction_ablation_across_layers_everything,frequency,ko,-1.5839941799640656,8.555489288567617
direction_ablation_across_layers_everything,value,en,2.515396248726618,7.818143580599002
direction_ablation_across_layers_everything,value,fr,0.6014276572636196,1.8345335551188717
direction_ablation_across_layers_everything,value,de,-0.7469335794448853,9.053961181604697
direction_ablation_across_layers_everything,value,es,0.27904272079467773,8.331959823257423
direction_ablation_across_layers_everything,value,zh,0.39773065135592506,8.75473001635819
direction_ablation_across_layers_everything,value,ja,-1.4468605802172707,9.189972155377129
direction_ablation_across_layers_everything,value,ko,-6.074860018633661,7.906128758163015
amplification,description,en,-0.37351190476190477,3.4190286332578865
amplification,description,fr,0.04017857142857143,0.27520577890026815
amplification,description,de,-5.479538690476191,4.369053871396614
amplification,description,es,-2.1331845238095237,3.6283452024734113
amplification,description,zh,-3.1316964285714284,3.5183739133417125
amplification,description,ja,-6.912202380952381,5.015995865108886
amplification,description,ko,-9.666666666666666,4.052476435593942
amplification,frequency,en,0.39360119047619047,3.477969333593994
amplification,frequency,fr,0.08482142857142858,0.37882622015569706
amplification,frequency,de,-4.839285714285714,4.707515357284622
amplification,frequency,es,-1.0669642857142858,3.6168867676878396
amplification,frequency,zh,-4.366815476190476,3.8558575443457093
amplification,frequency,ja,-7.765625,5.0222010408214155
amplification,frequency,ko,-10.49702380952381,4.412608948212833
amplification,value,en,1.0498511904761905,3.954070598747332
amplification,value,fr,0.033482142857142856,0.24743534443826037
amplification,value,de,-5.062686011904762,4.797486319783968
amplification,value,es,-1.6246279761904763,4.079374401950159
amplification,value,zh,-0.27380952380952384,3.8766745405569165
amplification,value,ja,-4.441220238095238,5.48292248074204
amplification,value,ko,-8.523623511904763,4.680218047398545
direction_intervention,description,en,-0.6160714285714286,3.520809251293389
direction_intervention,description,fr,0.07142857142857142,0.3531728572889562
direction_intervention,description,de,-5.293898809523809,4.384893930507988
direction_intervention,description,es,-2.1726190476190474,3.8442549630060534
direction_intervention,description,zh,-3.2589285714285716,3.631072796221937
direction_intervention,description,ja,-7.696428571428571,5.412738270524258
direction_intervention,description,ko,-9.893973214285714,3.971309172325364
